,Author,Title,Rating,Text,Date
123,romsicsdavid-61891,Must See Big-Screen Spectacle,8,"This film exceeded my expectations, far surpassing any initial doubts I had. The flashbacks are wonderfully nostalgic, and witnessing the iconic Ian Holm on screen again is truly heartwarming. While the storyline holds up well overall, there are a few narrative gaps, and the pacing feels a bit rushed at times, but these are minor flaws in an otherwise solid film. The performances are exceptional, with Cailee Spaeny and David Johnson delivering standout roles. However, the dialogue occasionally falls flat and could have been more polished.Contrary to some opinions, the CGI is impressive and meets industry standards. This is definitely a movie you need to experience on the big screen.After many years, the Alien franchise has finally been revived with a film that does it justice, and I couldn't be more thrilled. Go see it in theaters, you won't regret it.8.5/10.",2024-08-14
124,masonsaul,Unoriginal but great,8,"Alien: Romulus merges Alien and Aliens to great effect. It doesn't have any original ideas, and the bad de-aging is massively overused, but it's able to successfully compensate for that because of how good it is at crafting unbearably tense set pieces throughout. It's a nasty, IMAX worthy thrill ride that just needed to tone down the amount of callbacks and nostalgia to achieve its full potential.It's a small cast that ranges from being really likeable to dickish with understandable motivation. Cailee Spaeny is a terrific lead whose bravery grows over the course of the film, following the classic Ripley arc in satisfying fashion. David Jonsson is superb as he switches from endearingly unassuming to unnervingly cold with ease and his bond with Spaeny is the heart of the film.Fede Álvarez's direction confirms he was the ideal choice to continue this franchise and he remains gifted when it comes to delivering inventive scares that keep you on your toes. There's some standout zero gravity action and multiple scenes that are nail biting on their own but even stronger when paired with each other. He cleverly makes it feel deceptively tame in its gore for the most part until the end really goes for it.The set design and overall use of practical effects are phenomenal. There's a clear reverence for the original which shows in all the analogue tech and grungy hallways which makes the mostly practical Xenomorphs and face huggers even scarier. Once again, the budget extends far beyond what it actually is in terms of the sense of scale and how impressive the visual effects are.",2024-08-16
125,flare2,Familiar nolstalgia cashgrab,6,"The movie on its own was fairly enjoyable to watch. The cinematography, the effects, the set pieces, the dialogue, everything was on point. If you don't count deepfake Ian Holm, though. Unfortunately all the human characters are bland and uninspired and the android(s) are the best characters of the movie.That said I feel the movie does not deserve a good rating. This was basically a remix of all the other Alien movies with way too many misplaced references and callbacks. Why did we need an android that looks like Ian Holm but is not his orginal character? Because money and nostalgia.Prometheus and Covenant were not good movies but at least they tried something new and tried to expand on the Alien lore. This movie did nothing new, nothing interesting. You will forget it as soon as you leave the theater.If nothing else I hope this film will serve as a stepping stone for David Jonsson. His performance carried this whole thing.",2024-08-19
126,czswyhkv,Good for a Disney production,6,"Movie wasn't completely unwatchable. It had the stink of millennial culture all over it. And with that, the whiny attitude they are well known for. It was distracting at times.Great job on the alien. CGI was good. And the story was ok at best. The usual pandering and rhetoric was shoveled into the script, and frankly that garbage is getting old. Disney seriously needs to lay off already.19% of the cast share their gender identity and or preferred pronouns in their bios. So that annoyed me, BUT it falls below my 20% tolerable threshold. It's just a huge red flag when I see that ridiculous information shared. I don't even bother watching anything these days if that threshold is broken. Ive had my fill of weak people and political pandering. They Lose all credibility instantly in my eyes. Time to grow up!If you don't think that matters, lol, go find a movie where half the cast or more share that identity dribble. You will instantly see the difference and it will open your eyes to the weak minded insanity.",2024-11-28
127,melliottup,Taps into what made the first one enjoyable.,8,"Alien: Romulus taps into so many things that made the first film so great. It's score, cinematography, and amazing use of sound throughout create a sense of impending dread during much of the film.Huge kudos as well for the use of pratical effects which added to the sense of realism. The main two leads also did a very good job and added to the story.The director also takes steps to ensure we feel that we are in this universe. From the same technology style to references to things we've seen or heard mentioned in other movies it does a nice job of grounding the movie in a universe so many enjoy.This is clearly the best movie in the franchise since 'Aliens' and a must for fans of the series.",2024-08-16
128,florianvanhorenbeek,Bring back lifeform.,8,"Since I've been banned by the brats from AVP-Galaxy for absolutely false and absurd reasons I thought I'd post my review here.It's been a couple of days since I have seen Romulus and I had a good feeling going in and left the theatre feeling really satisfied. My worst fear that the production value was going to be sub-par because Romulus originally was meant to be a movie for streaming services has officially been debunked big time.It's without a doubt the best movie since the original Trilogy, hands down. I loved the premise of Prometheus for being epic and explore more of the lore and Alien-universe but hated it in the end because it didn't deliver and eventually fell flat on it's face. This take on the franchise plays it relatively safe, which is fine, but it excells in the execution of all of it. I believe this is going to age well because of the use of practical effects and actual sets. Way better than like for instance Avatar, where the director relies on green screens 90 percent of the time.First of all, It looks gorgeous. We get some very well designed sets with a lot of attention to detail and some really neat vehicles as well. If you liked the retro-style computers, the white-wall living quarters or the claustropbobic corridors seen in the original, you are definitely going to dig this. It's truly a hommage to ALIEN and everything that followed. The practical effects knock it out of the park and it's being complemented by really high-standard CGI. I admit it looks quirky at times when it comes to facial expressions on some characters but it's not so bad that it takes you out of the experience completely. I would even dare to go say this looks even better than Dune at times. It's truly in a class of it's own because you don't really have anything to compare it to these days, except the original. So 5 stars for the visuals. They absolutely nailed it. It's a rare gem, especially these daysThe music and sound design is also very good, with nods to the original Trilogy every turn. We get the absolute silence in space, the heartbeat rush when a character gets facehugged, and the nostalgic bleeps and bloops from the aged computers. A real treat to be honest.They dropped the ball sometimes when it comes to the characters and acting. Most of them are forgettable and don't really have an impact on the main storyline. They're just there as cannon fodder. Aside from the main character and its sidekick it's really hard to remember any of the names. Also noticed some very questionable decision-making near the end. But not nearly as bad as in Prometheus where a guy wants to pet an obviously pissed, possibly venomous alien snake. The acting isn't up to standard all of the time but then again, it's not that bad that it can't be overlooked. It's pretty solid overall even though the cast is far younger and less experienced than any of the previous entries. All in all, they did a good job and should be brought up for a bonus-situation.However, what will stirr controversy without a doubt is the final 20 minutes or so. I was fine up untill then, really having a great time but the final act mostly took elements from the lesser movies of the franchise and let it down in some way. I hate Alien humanoids in any way, shape or form because it just feels lazy. The narrative was stolen from Netflix's Titan and felt repetitive. Luckily it was such a blast up till then that I didn't really care anymore. If you don't like the ending, just skip it.So final thoughts:Omg, this is the first real Alien-movie in decades that makes me proud for being a life-long fan. Even though the aliens don't scare me anymore like the one in Alien 3 when I was a toddler, it does most of the crucial things absolutely right. The atmosphere, the props, the sets, the Easter eggs everywhere, the references to mythology, the nostalgic sounds, the body horror, the new stages in the Alien life-cycle. It's all been done with a lot of love for the franchise and I couldn't be any happier considering all the triple that is coming from Hollywood these days. It's solid, it looks and sounds awesome and even though it doesn't have a Ripley cameo or true expansion of the lore going for it, it's more than decent enough to warrant a sequel and I think it will age really well. It's above all a revive of a tired franchise and return to form, leaving all the bloated and pompous elements from the last movies out of it!It's simple and straight-forward and that's where it gets most of it's charm from. I am so pleased the franchise is back on track and can't wait for the next movie!Pass me some cornbread pls and lets ROCK!!Snake
Signing off.",2024-08-17
129,Quackser,Children's movie,1,"I had read reports that this version was close to the original format and was looking forward to watching an edge of seat story set in the future.Unfortunately, it has child actors rather than adults portraying 'the crew' so expectations sunk immediately. I mean, how can you compare the crew of the original 'Alien' to the new group of teenage nobodies that can't act nor talk coherently?How can you take a movie like Alien and swap the characters for teenagers and expect it to be none other than made for an audience who likes Transformers or the latest Marvel nonsense? For me, it was a wasted opportunity to utilise modern day sets, effects & action and recreate the tense atmosphere of the original movie. I should have known it would be an impossible quest. The young man who 'speaks' with an English/London accent was particularly annoying - he should've been a ventriloquist as anything he said was complete and utter gibberish.I really can't believe Ridley Scott threw away his legacy to put his name to being 'producer' for this production - he has either lost the plot or, they paid him millions.Anyway - if you're aged 13-17 and like putting your head in a backstreet overfilled rubbish bin - you'll love it. Otherwise, I'd recommend taking a bath or cutting your toe nails.",2024-10-16
130,filmtravel101,Bad script and no tension/horror or shock - poor remake,6,I was excited to see this film even if no real A listers as the CGI looked good in the trailersUnfortunately this film starts off with decent plot with a group of teen actors that quickly devolves into video game mode Doom player mode where there is really no sense of tension or fear of the Aliens.It gets even funnier where they blast the Aliens in zero gravity and decide to play silly slide through the acid goo. And forget about all the prior movie dialogue rip offs but the film borders on stupidity on the characters actions which mostly involves just lots of closing air lock doors in the nick of time.The finale is waft of the most cringe worthy moments where one really wonders what inspired the Creature from the black lagoon mating with Prometheus ha haAt one point so many people in the theatre were either laughing or bored looking at their phones because there was no tension or intensity in the story and way too predictable - unlike all other Alien films - this one almost gave away all plots and only was missing Captions for the IQ impaired.The CGI and cool video games might entice some to think it's cool yet I found it to be mediocre and definitely not a memorable sequel that could have remained on the shelfPlease bring back James Cameron to liven up the next one6 stars.,2024-08-21
131,popohas-15782,This movie shows the competence that Fade Alvarez have to revive a tired movie franchise,10,"This movie checks all the boxes.It has a good cast, a great setting, and writing that's easy on the brain but complex if you think about it. It pays homage to old films with respect and care for the fan base, carefully avoiding offending anyone. The sound design is freakishly superb, and the animatronics and VFX teams did an even better job. The jump scares are well-timed and effective, but not overwhelming. There's a little bit of tasteful gore, but it's not too much or nauseating. The movie has nice twists and surprises, and it never goes off the rails-it sticks to the old format that the first film had.It was a nice movie to watch in the cinema.I think if I could turn back time and watch this movie instead of Alien (1979), I probably wouldn't have slept for days, just like when I saw the old one.",2024-08-14
132,mikek-10212,Great movie.,10,"Amazing movie. Great actors. I would recommend watching this horror movie. A couple of jump scares. That is what I like about this movie. One of the better horror movies. I would come back tomorrow and watch it again. The actors were great at acting. I loved every bit of the movie because there was a lot of action. If you haven't watched it, watch it! I got myself the Alien Popcorn bucket along watching Alien, Romulus.I hope there is another movie in the future. I really enjoyed this one. Had a great experience today.I went with a friend and he says he really enjoyed this movie. Amazing. I loved it.",2024-08-16
133,shakercoola,"Pulls the same levers, but there is pleasing variation in the recurring motifs",6,"An American sci-fi thriller horror; A story about a group of downtrodden young space colonists, in pursuit of better life conditions who encounter extreme hostility while scavenging a derelict space station. This seventh installment has verve, and the backstory to the characters seems plausible. The set design was a style borrowed from the first two films for this 'legacyquel'. It reproduced the same lived-in effect and visceral aspect. Other callbacks to past films, like recurring tropes, are reimagined to pleasing effect, while some of the gunfights and repeated one-liners, and a character resurrection, land garishly. Other visual effects, like the distant planet system and a depiction of an asteroid belt are mesmerising. The pace works, and early scenes of exposition are interesting, but they don't lead to anything surprising in the plot; it is a fairly formulaic trapped-in-a-spaceship chase flick. There is the odd gripping moment, but no feeling of dread; the aliens don't elicit much fear, only disgust in some scenes of startling gore. Cailee Spaeny eschewed the kind of histrionics often employed with playing a lead in a film like this, and was convincing as a blue-collar space miner and her relationship with a synthetic human 'brother.' David Jonsson was a good match for her in his dynamic part too, though his line delivery lacked enunciation in some of his longer scenes. As an aside, something may have been lost in the ambition to develop more mature ideas, as with previous installments, and thought-provoking questions about AI-human interaction are unexplored, but the younger cast gives the franchise a well-needed shot in the arm for loyal fans of the 'Alien' series.",2024-08-21
134,tankboy-46851,Really good Alien Movie,8,"I've been a fan of alien movies since I was old enough to sneak and watch them at my friend's houses in the early 90's. In fact, the original ""Alien"" directed by the amazing Ridley Scott was one of several unforgettable movies that began my early obsession with filmmaking. So, as a lifetime Xenomorph lover, and alien movie enthusiast in general, I thoroughly loved this entry.I have seen every single film more times than I can even count and can practically quote Alien and Aliens respectively.The franchise has had some moderate wins and undeniable misses throughout the decades (I don't even count the Alien vs Predator movies as cannon). But this movie has virtually everything that I wanted from a good quality Alien chapter. Admittedly there were one or two cringe dialogue moments, but other than that, I was impressed by the simplicity and attention to detail that went into everything presented here.There was just enough nostalgia thrown in to wet my appetite and a nod to the extended universe to make me smile (no spoilers of course).The acting was really good, and the visuals were even better. Special shoutout to having the filmmakers choose practical effects over CGI (wherever possible of course). I thought it was well done and will happily add this sequel to my Alien movie binges.",2024-08-19
135,moviemanager,"It could have been better, but still an okay movie.",6,"The iconic film ""Alien,"" released in 1979, serves as a significant reference point for this upcoming movie. This cinematic endeavor remains faithful to the original timeline, which is a commendable decision. Prior to its release, ""Alien: Romulus"" generated a substantial amount of anticipation, potentially due to its ambitious scope. The cast predominantly features lesser-known actors, with Cailee Spaeny, the lead performer, demonstrating promising potential for future stardom. The movie commences with a promising start, effectively capturing the essence of the ""Alien"" franchise. However, it does take some time to gain momentum, resulting in a slightly sluggish beginning.Some CGI elements are incorporated into the film, occasionally drawing attention in a less than ideal manner. Nonetheless, there are numerous visually stunning moments, particularly in the depiction of space. While I do not find the movie particularly frightening, I believe this may be due to my understanding of its connection to the origins of Alien.However, there is a notable weakness that impacts my overall perception of the film. In my opinion, a certain aspect does not fully succeed and appears to be a hastily devised solution. I would have preferred a slightly different plot structure. For some reason I experienced similar emotions to those I felt when watching Alien: Resurrection. Overall, I would describe the movie as satisfactory, although it falls short of my expectations. It is a solid film that effectively utilizes its new cast. Perhaps I have yet to fully grasp the broader context. It is encouraging that a sequel probably is in the works, ensuring the continuation of the saga.",2024-08-16
136,mhtotalmoviefan,Better than most of the franchise itself,8,"This film is a great science fiction horror experience! Very cool, tense, and full of fan service.The film takes place after Alien 1 and before Alien 2. We see several allusions to the first film, including a specific character. We also have great use of the famous phrase Get Away From Her, You B*tch! (Of course I won't spoil whoever uses the phrase).The gore here is high, the practical effects are incredible and even the CGI is impressive.At first, I found the fact that the main characters are young to be funny and annoying, but I saw that it worked! Probably at least decent performances contribute to a good impression.The film is really cool and worth it! It's not the best, because we still have Alien 1 and 2, but it's the best in so many years.",2024-08-28
137,MarkYEG,"""Alien: Romulus"" - A Nostalgic Dive into the Alien Universe",7,"Watching ""Alien: Romulus"" in a nearly empty theater, with only eight other people sharing the space, turned out to be a intimate experience for a film that thrives on tension and isolation. This setting allowed for an immersive dive into Fede Álvarez's latest addition to the Alien franchise, which, much to my joy, felt like a love letter to the original trilogy's essence.""Alien: Romulus"" doesn't just nod to its predecessors; it embraces them with open arms. The film captures the claustrophobic horror of the original ""Alien,"" the relentless action of ""Aliens,"" and even some of the thematic depth of ""Alien 3,"" albeit with Álvarez's distinct flair. The movie's atmosphere, from its dimly lit, industrial, vintage tech settings to the eerie silence punctuated by sudden, heart-stopping scares, evokes a strong sense of nostalgia. The design of the alien creatures, the use of practical effects, and even the sound design pay homage to what made the original films so memorable. Yet, it's not just about nostalgia; Álvarez injects new life into the franchise with fresh sequences that feel both familiar and thrillingly original.One of the standout aspects of ""Alien: Romulus"" is its cast, predominantly young actors looking to make their mark in the industry. This approach not only refreshes the franchise but also offers these performers a significant platform to showcase their talents. The lead actress, in particular, carries the film with a compelling mix of vulnerability and resilience, reminiscent of Sigourney Weaver's iconic portrayal of Ripley. Her performance, along with her co-stars, adds a youthful energy to the film, making the characters' plight feel both urgent and relatable. This casting choice not only serves the narrative but also acts as a bridge for new audiences to connect with the Alien universe, potentially building their acting resumes in a franchise with a storied legacy.The sparse attendance at the theater contributed significantly to my viewing experience. The film's tension, which is palpable and often relies on the audience's reaction to jump scares and suspense, was heightened by the absence of a crowd's typical noise. This setting allowed for a more personal engagement with the film, where every creak of the ship, every whisper of the alien, felt like it was directed at me alone. It's an experience that might not be replicated in a packed house, where the collective gasp or laugh can sometimes break the spell of such a film.""Alien: Romulus"" successfully recreates the magic of the original Alien films while offering something new for fans and newcomers alike. Its nostalgic feel, combined with the fresh faces of its cast, makes for a compelling watch. The theater experience, with its intimate setting, only amplified the film's ability to grip and terrify. For anyone looking to revisit the horror and suspense of the Alien franchise with a modern twist, ""Alien: Romulus"" is a must-watch, especially in a setting where you can truly feel the isolation of space.",2024-08-17
138,hagennegru,Alien for the Z generation: big L,1,"This has to be the worst movie of the Alien franchise: poor written script, full of boring clichés, bad acting (for example: the guy playing the android is annoyingly overacting. The whole thing about androids was to be unoticeable by humans, right? He acts like a robot on Adderall all the time...)
I can't get over the fact that a bunch of middleclass teenagers with no education, no studies in engeenering and aeronautics handle perfectly the mod advanced tech in their universe...
Sorry dog, I wasn't expecting a Disney movie...
Such a dissapointment.I feel like the movie was a Gen Z bait. Let's put together a bunch of teens in their early 20's to follow a script that seemed more of a side mission in a space themed FPS game.",2024-09-09
139,chenp-54708,One of the better Alien movies from the Alien franchise in recent times.,7,"Fede Álvarez does a good job on creating the horrifying space, dreadful, and dark atmosphere of the Alien franchise with gorgeous camerawork, sound designs, effects, and tension. Alien: Covenant was a gorgeous mess and I'm happy to see Álvarez is able to understand what makes the Alien movies good and being able to help capture its essence, atmosphere, and horrifying elements. Filled with good performances, monster designs, and some horrifying action moments, Álvarez has definitely become one of the horror filmmakers I have been wanting to keep an eye out and continue to see what else he offers.It's usage of strong practical effects and tension really helped create the sense of dread where you see the characters are being placed in horrifying and scary situations. On it's writing, it does explore some new territories that are interesting, although some choices are a bit thin and the character engagement doesn't feel as strong. Lastly, I don't know if it's my theater, certain presentation moments were a bit too dark which made some shots a bit difficult to see.Despite it's flaws, it's nice to see another Alien movie from it's franchise that holds on the ground.",2024-08-14
140,Nachturnal,Pleasantly surprised,8,"Let me start by saying I'm not a dedicated Alien fan. I enjoy the movies and am a casual watcher.That said, I was enthralled with this film. I found it to be the perfect blend of horror and action. Some scenes had me ridden with dread while others had me on the edge of my seat. Certain scenes will emotionally stick with me for quite a while.The cinematography was beautiful and it certainly was a love letter to Alien fans. The acting was incredible, especially David Jonsson. I have never felt so connected to a character in the first ten minutes of a film before. He was captivating in every sense of the word and pulled this film together.Had I not gone to the latest showing of the day, I would have watched it again right afterward!",2024-08-28
141,Sleepin_Dragon,Better than I thought.,7,"Rain and a group of fellow mineworkers spot an opportunity to scavenge a ship that's laying abandoned in space. Unfortunately for them, it's abandoned, but not empty, and a deadly threat awaits.After Covenant, I learned to manage my expectations, so I went in with somewhat limited hopes, I came away feeling rather satisfied.Definitely better than Covenant, this was an altogether much better film, in terms of story, acting and effects, it definitely felt more 'Alien.'There are a few criticisms, I thought it was very slow to start, and at times it was very predictable, but it's Alien, so you know the kinds of thrill's and spills you'll get, I only wish they'd gone for a more horror vibe.My gripes aren't particularly major, and for the most part I enjoyed it, the visuals were mightily impressive, it's a terrific looking film. A decent mix of characters, Andy my favourite of the bunch, baked by a very strong performance from David Jonnson, for me he stole the show.Several nods to Prometheus, moments that perhaps help to peace that one together.Better than I'd expected.7/10.",2024-08-23
142,dmach-61247,I really enjoyed this ride a lot!,10,"Do not go in with a ton of expectations. After watching ALIENS back in the day on the big screen I was blown away. I was a huge ALIEN fan already and bringing the genre to WAR was exactly what I wanted to see back then. So waiting for ALIEN 3 was a really awesome time and my expectations grew after the fantastic ending of ALIENS with Newt, Hicks and Ripley AND Bishop surviving. So when finally watching it all ma hopes did get destroyed in the first minute of the film... ending in ALIEN 3 being the most stupid film in the franchise because of all the lost opportunities after ALIENS.So this said: I did go to the theater watching ALIEN : ROMULUS without ANY EXPECTATIONS! And to make it clear first: Did this film have flaws: YES! But the more important question: Did I enjoy the ride: HELL YES!I was afraid the young cast would be some kind of bad slasher fic cast... but they worked very well and can act... so this was fine :)
Did they do stupid things: YES... just exactly like most American kids would today! So very realistic on this part too ;)
I liked the movie and the combination of the ALIEN stuff and the details from PROMETHEUS! For me this movie is now ALIEN 3! Go watch it on the big screen.",2024-08-19
143,citizenstonie,Almost Made It,7,"This movie was 10 minutes away from being an 8.5 out of 10 easily.Some choppy FX in a few seems that will be pretty obvious could not stop my giddy feeling throughout the entire film. That is until the last 10 minutes of the film... no... no... no... Some aspects of this franchise are better off dead and buried and forgotten. The director almost achieved it.That said, excellent set design, cinematography, acting and practical effects give Alien fans what they have long hoped for and I am hopeful of a sequel to this film. I give it a 7 out of 10 and only because of story elements of the last ten minutes and a few choppy FX that probably required a little more budget which I know Disney won't screw with next time around.",2024-08-17
144,niklask-89912,"I have one word ""Perfection""",10,"The movie started out strong, and just kept doing that. The first and second act were strong. But then the third act came, and that were where the movie got really intense, and just kept being like that for the rest of the movie.The Xenomorph design were also amazing, and they had actually kept a good job of showing them through out the movie. And as a person who has seen all of the Alien movies, including the ones with predator in. Then I would say that this movie is in top 3 of them. I would even come as close to say that this movie is THE BEST of them all.So in all I would give it a 9.6 in rating.",2024-08-14
145,pmtelefon,The weak cast hurts more than it helps,6,"I don't know why but I fell for the ""Alien: Romulus"" hype. I don't want to say that I was disappointed but I guess I was. I should have know better. It is a Part 9 after all. ""Alien: Romulus"" is a good looking movie but it suffers from a ""been there, done that"" script and a weak check-all-the-boxes cast. The cast works hard but they're in over their heads. They range from bland to annoying with David Jonsson and Aileen Wu being the annoying ones. (I'll give Jonsson a slight break because his character isn't a good one.) ""Alien: Romulus"" gets off to a bad start but gains its balance during the middle hour. Unfortunately, it spins out of control during the last half hour or so. (I saw this movie at AMC Raceway 10, Westbury, NY.)",2024-08-23
146,Frozone37,One of the best in the franchise!,9,"Finally an Alien film that is a worthy sequel to Alien and Aliens. While it is not better than the two originals, it is far better than the others. Fede Alvarez capture the feeling of Alien incredibly well. The atmosphere, music and claustrophobia were perfect. So many times I was writhing in my seat with an uneasy feeling of what is about to come around the corner.What makes this film even greater is the rare use of CGI and the use of practical effects. While there is one obvious use of CGI for a cameo, mostly everything else looked incredible. The set design is top notch.The cast was decent but the standout was David Jonsson as Andy. Played the best android since David in Prometheus.Overall a great Alien film but an even better horror film in my opinion. A few times I was cringing in my seat from the body horror that Fede implemented. Worth seeing on the biggest screen possible.",2024-08-20
147,Smarmelade,"Should be better, isn't",6,"I did not expect much from this. Yes, Fede Alvarez, and all that - Don't Breathe was cool, Evil Dead remake was kinda not but it was wild at least, and Don't Breathe 2 was very disappointing.So I can confirm that me not expecting much was mostly on point.It started good. I didn't even mind the strong plot connection to the first movie. I even thought that was bold. Young and interesting characters, played by solid cast. I even liked the music, a bit of old with something fresh. Visually, movie was great most of the time, though more on that later.But then, at midpoint, or a bit earlier - they threw everything and the kitchen sink into the plot mix and it was just a mess, glazed with fresh coat of bunch of unncessary old franchise callbacks, one liners and fan services.I mean, wow on that deep fake, whatever CGI was that with a face of a certain character. That was just unbelievable and laughably bad at the same time. Not to mention that there are really great, practical and CGI effects throughout the movie. So this is either a rushjob, studio note at the last minute or something of that nature.And the whole movie gets crushed in the second half with it's bad narrative, bad script and just speedrunning through memberberries. It all felt a bit vision-less. Is this studio meddling or 100% Fede Alvarez, I can't tell.For now, first and second movie still reign far supreme, mostly because of strong directors with a clear, strong vision that was executed well.It is not a bad movie, but it is disappointing because of just how thrown together all of it turned out to be. They could have done way better and way simpler, with a little patience and less callbacks and blatant expositions - less is more, and all that. Definitely needs a second viewing when it comes out on digital.",2024-08-23
148,marshall-61421,Awful,1,"Remaking an inferior version of Alien with elements from others demonstrates a lack of originality and imagination. If the writers are so bereft of talent, they might canvas fans for a script. I can envision numerous scenarios within nanoseconds, one of them being to discard the Ripley character rather than endlessly attempting to emulate the first two masterpieces.Without addressing the contrivances of the plot, it's better to focus on what could be. One can overlook weak acting with a good story, properly directed, but not the converse. There remains an opportunity to create an original Aliens themed movie featuring material that doesn't have to pay homage to the original, that can still furnish heart-pounding action. Unfortunately, it's unlikely such a picture will ever be created if trash like this is rewarded with a squeal.",2024-10-27
149,Ghost33,It was OK,7,"First, I'm a big alien fan. Second, I actually loved prometheus and thought covenant was pretty damn good. I know I'm in the minority in that department but so be it.This movie was OK. It added nothing to the new storyline and didn't really leave me with anything memorable. As an alien movie, it checked most of the boxes. But after prometheus and covenant, I'm looking for more now in that storyline and this movie had absolutely none of that. It's a run of the mill, modern day, Aliens.Not that this a bad thing. But as a general matter, I was disappointed. I'll probably watch it again sometime but my score of 7 feels fairly generous.",2024-10-15
150,saadurrehman70,An amalgamation of the Alien Series' Best,7,"There's something about derelict spaceship corridors juxtaposed with blood and Alien infestation that is so unnerving.I finally saw Alien Romulus last night, and I can say while it had its cliche moments, the overall Ridley Scott original inspired horror was there and it was nerve-racking, dialed up to 11.Its took the best parts of the Alien series to make a good, gritty Alien movie with a fair bit of action and smartly shot scenes of gruesome Alien body horror that it's known for, against the awe-inspiring chaos of space which was rendered beautifully and created tremendous tension and dread.The young cast is okay, if not ridiculous, but the leading actress is very pretty and a rootable protagonist for the Alien sci-fi space much like Ripley.From the yellow spinning alarm lights, to the wailing sirens and the retro analog technology, it was so stylishly honoring the first Alien in it's set design and I was so pleased by what it took from Prometheus and Alien: Ressurrection.It's scary, it's brutal, it's breathtaking and it's downright disturbing or uncomfortable in that ending. You may just leave wondering if Ridley Scott will get to make his Covenant sequel. 5:20am.",2024-09-06
151,jackmanis,Better than expected,8,"I have to admit the trailer didn't do much for me but because it's Aliens I had to go see it. First off the visuals were quite stunning, seen in IMAX was a plus, and the story really did seem concise even though it's a basic concept of most of the alien films. This one wasn't too deep like Prometheous and based more on action and trying to survive. The young, fairly unknown actors did a good job. The lead girl had definite resemblances of Sigourney Weaver's character. With her strength and problematic attitude towards handling the situation in front of her. Definitely top five of this year's movies for me.",2024-08-18
152,jochang-30856,"Pretty good, but nothing new",6,"Another reviewer basically said it best. There's nothing original about this film. I don't mind revisits to winning formulas, but sometimes it's so in your face that it becomes obvious pandering. There's one line in particular that does this and I actually said out loud, ""Why that exact line?"" Instead of enthusiastic nostalgia it became slight cringe.There are also some moments that are completely unbelievable/inconsistent. For one, the way fluid works in zero-g. One could argue from a lore perspective that the specific type of fluid is far more viscous which allows for what we see on-screen, but it just felt like a transparent attempt to use that as a cool factor for the scene. Had that actually happened with the force shown it would have blanketed the entire area with tiny droplets. Dancing around it unaffected is absurd. The other is the way sound is depicted in the vacuum of space. One scene had a loud explosion, and a following one significantly more muted. These may be small criticisms, but suspension of disbelief is important or you may end up being taken out of whatever you're watching.It's not a bad film, though. I enjoyed it. The acting was pretty great for the most part minus one death scene which was typical CGI+acting mismatch. Cailee Spaeny and Isabela Merced deserve special mention. The former has that screen presence to carry a lead role which is always impressive, and the latter exhibits fear fantastically. Very convincing. The inclusion of Ian Holm was appreciated as well, but that may be the fan side of me talking. Try as we do to leave bias out of these things, no one is immune to it.Romulus is an inoffensive addition to the franchise. You won't regret having seen it but unless you're new to the series none of it will stay with you.",2024-10-15
153,megatweet,If there were negative stars I would use them,1,"Alien is my favorite movie of all time. The trailers for this film were so promising, I actually coughed up the $22 bucks for an imax ticket. Let me tell you. Once I got a pedicure in a dodgy salon and I got a staph infection and needed IV antibiotics for a month. That was better and more worth the money than this dumpster fire. I have only ever walked out of one movie, Dracula Dead and Loving It. That movie was Schindlers List compared to this botched abortion. I can't even find the adjectives right now because I'm so angry. Just because you CAN make a sequel doesn't mean you SHOULD. And dude. Bilbo looks ridiculous. The CGI is terrible, the plot is nonexistent, the character development is sub basement quality. Ellen Ripley would be so disappointed.",2024-08-17
154,astrohamster,"Entertaining overall, missing some plot points",8,"I had just saw this movie in theaters with my partner. Overall I thought the movie was pretty interesting, entertaining & better than it's predecessors (Promethius & alien Convenant). The strong parts of the movie for me were : the acting, action, & some eeriness. However my counter point would be the storytelling/plot. Although not major , there were some parts of movie that didn't feel in the slightest explained. Plus I felt they could've still made some more connections to the other alien movies in the franchise. Also at times the jump scares felt a bit cheesy or just not well placed. 8 out 10.",2024-08-19
155,SteveFOX_86,Prometheus was better,6,"Another Alien movie I was hyped about. Lotsbof praise and silent approval that the franchise was going back to form. Having now seen it, it's a decent attempt, but not much more.Opening was really too quick to give any backstory to the characters.None of the characters had any personality or dimension. Just didn't care if they lived or died.Dialogue was average at best.There is no story here. Just random things to move it along, and all too predictable.Way too much CGI, that kills any real scare or thrill.Full-grown xenomorphs get absolutely slaughtered by kids that never had a day of combat in their life.Just the alien/aliens representation was pathetic.It does look like they tried with this one, but had too little time to flesh it out properly.Prometheus was much better, even with its many flaws. At least there was introduction, characters that sparked interest and some decent dialogue and set pieces.Overall, better than AvPs and Alien 4, but that's about where it ranks. Maybe it's on par or slightly better than Covenant, but can't say for sure. Prometheus was definitely better. Can't touch Alien and Aliens with a barge pole!",2024-10-28
156,sashaattilan,"Fede Alvarez, I wasn't aware of your game",8,"From the start you're made very aware that this is ultimately a love letter to the original, with a beautiful use of practical effects, a masterful implementation of sound design and score to truly settle you into the tone of the film, and world building that put a big smile on my face (finally someone gets it). Thankfully, this film lives up to its name, much more so than Covenant - where the big bad is only really shown in the final act; you don't need to worry about that here. Alvarez final touch was casting mostly unknown actors who sell their setting well, and play off one another perfectly.",2024-08-16
